 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230122115648139,2023-01-22 11:56:48,5.82,-7.27,0.00,11.64,1.45,0.00
20230122115648379,2023-01-22 11:56:48,20.37,2.91,1.45,13.09,2.91,0.02
20230122115648612,2023-01-22 11:56:48,5.82,-2.91,-2.91,8.73,2.91,0.01
20230122115648845,2023-01-22 11:56:48,11.64,-1.45,1.45,11.64,0.00,-0.01
20230122115649083,2023-01-22 11:56:49,1.45,-2.91,1.45,0.00,2.91,0.01
20230122115649486,2023-01-22 11:56:49,14.55,-4.36,2.91,13.09,2.91,0.00
20230122115649768,2023-01-22 11:56:49,1.45,1.45,0.00,1.45,-1.45,0.03
20230122115650054,2023-01-22 11:56:50,1.45,0.00,0.00,0.00,1.45,0.01
20230122115650329,2023-01-22 11:56:50,11.64,0.00,-2.91,11.64,2.91,0.01
