 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230124143113765,2023-01-24 14:31:13,24.73,5.82,2.91,17.46,-1.45,-0.01
20230124143113974,2023-01-24 14:31:13,21.82,0.00,0.00,20.37,1.45,-0.03
20230124143114162,2023-01-24 14:31:14,17.46,10.18,5.82,0.00,1.45,0.00
20230124143114351,2023-01-24 14:31:14,18.91,-4.36,2.91,18.91,1.45,0.01
20230124143114550,2023-01-24 14:31:14,7.27,8.73,0.00,1.45,-2.91,-0.01
20230124143114767,2023-01-24 14:31:14,7.27,0.00,1.45,7.27,-1.45,0.05
20230124143115052,2023-01-24 14:31:15,13.09,4.36,4.36,4.36,0.00,0.01
20230124143115372,2023-01-24 14:31:15,0.00,-1.45,0.00,2.91,-1.45,0.00
20230124143115673,2023-01-24 14:31:15,7.27,5.82,0.00,4.36,-2.91,-0.01
20230124143115944,2023-01-24 14:31:15,14.55,11.64,0.00,2.91,0.00,-0.02
20230124143116210,2023-01-24 14:31:16,26.19,-1.45,4.36,16.00,7.27,-0.01
20230124143116493,2023-01-24 14:31:16,46.56,11.64,0.00,14.55,20.37,-0.01
20230124143116794,2023-01-24 14:31:16,106.21,33.46,10.18,36.37,26.19,0.01
20230124143117063,2023-01-24 14:31:17,174.58,43.65,16.00,71.29,43.65,-0.06
20230124143117342,2023-01-24 14:31:17,187.68,53.83,32.01,45.10,56.74,0.01
20230124143117613,2023-01-24 14:31:17,267.70,80.02,32.01,81.47,74.20,0.01
20230124143117848,2023-01-24 14:31:17,312.80,85.84,42.19,90.20,94.57,0.03
20230124143118076,2023-01-24 14:31:18,391.36,107.66,49.47,114.93,119.30,-0.03
20230124143118252,2023-01-24 14:31:18,417.55,109.11,58.19,132.39,117.84,0.01
20230124143118412,2023-01-24 14:31:18,507.75,148.40,77.11,142.58,139.67,0.03
20230124143118573,2023-01-24 14:31:18,563.03,158.58,71.29,171.67,161.49,-0.01
20230124143118745,2023-01-24 14:31:18,627.05,164.40,93.11,189.13,180.40,-0.03
20230124143118931,2023-01-24 14:31:18,602.31,162.94,94.57,168.76,176.04,0.01
20230124143119117,2023-01-24 14:31:19,606.68,167.31,87.29,177.49,174.58,0.01
20230124143119304,2023-01-24 14:31:19,628.50,173.13,93.11,190.59,171.67,-0.04
20230124143119489,2023-01-24 14:31:19,634.32,176.04,90.20,189.13,178.95,0.03
20230124143119681,2023-01-24 14:31:19,625.59,158.58,94.57,196.41,176.04,0.01
20230124143119842,2023-01-24 14:31:19,459.74,126.57,56.74,154.22,122.21,0.06
20230124143120003,2023-01-24 14:31:19,103.30,20.37,17.46,49.47,16.00,-0.01
20230124143120167,2023-01-24 14:31:20,40.74,2.91,11.64,21.82,4.36,0.03
20230124143120360,2023-01-24 14:31:20,0.00,-4.36,7.27,0.00,-2.91,0.01
20230124143120551,2023-01-24 14:31:20,18.91,0.00,0.00,17.46,1.45,-0.05
20230124143120749,2023-01-24 14:31:20,7.27,-2.91,5.82,0.00,4.36,0.03
20230124143120973,2023-01-24 14:31:20,10.18,5.82,0.00,0.00,4.36,-0.01
20230124143121197,2023-01-24 14:31:21,18.91,1.45,0.00,17.46,0.00,0.04
20230124143121424,2023-01-24 14:31:21,50.92,10.18,8.73,24.73,7.27,0.01
20230124143121642,2023-01-24 14:31:21,77.11,11.64,13.09,36.37,16.00,-0.02
20230124143121816,2023-01-24 14:31:21,106.21,23.28,1.45,50.92,30.55,0.03
20230124143121979,2023-01-24 14:31:21,194.95,49.47,23.28,72.74,49.47,-0.03
20230124143122143,2023-01-24 14:31:22,295.34,72.74,43.65,101.84,77.11,0.06
20230124143122303,2023-01-24 14:31:22,376.81,100.39,52.38,117.84,106.21,0.04
20230124143122463,2023-01-24 14:31:22,517.93,135.30,85.84,152.76,144.03,0.01
20230124143122626,2023-01-24 14:31:22,624.14,181.86,96.02,173.13,173.13,-0.03
20230124143122790,2023-01-24 14:31:22,736.16,197.86,112.02,221.14,205.14,0.05
20230124143122979,2023-01-24 14:31:22,788.54,215.32,130.94,226.96,215.32,0.03
20230124143123172,2023-01-24 14:31:23,788.54,221.14,125.12,228.41,213.87,0.03
20230124143123359,2023-01-24 14:31:23,822.00,228.41,141.12,242.96,209.50,0.06
20230124143123546,2023-01-24 14:31:23,822.00,225.50,132.39,251.69,212.41,0.02
20230124143123733,2023-01-24 14:31:23,611.04,167.31,90.20,196.41,157.13,0.01
