 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230207104909015,2023-02-07 10:49:09,13.09,1.45,0.00,11.64,0.00,-0.02
20230207104909215,2023-02-07 10:49:09,16.00,4.36,0.00,14.55,-2.91,0.01
20230207104909401,2023-02-07 10:49:09,10.18,-7.27,2.91,17.46,-2.91,0.01
20230207104909750,2023-02-07 10:49:09,-8.73,-10.18,2.91,1.45,-2.91,0.01
20230207104909967,2023-02-07 10:49:09,21.82,4.36,2.91,17.46,-2.91,-0.01
20230207104910181,2023-02-07 10:49:10,13.09,0.00,1.45,16.00,-4.36,0.01
20230207104910396,2023-02-07 10:49:10,26.19,2.91,8.73,17.46,-2.91,-0.04
20230207104910607,2023-02-07 10:49:10,20.37,0.00,2.91,17.46,0.00,-0.03
20230207104910792,2023-02-07 10:49:10,-11.64,-10.18,-4.36,7.27,-4.36,0.00
20230207104910980,2023-02-07 10:49:10,2.91,-10.18,1.45,14.55,-2.91,-0.03
20230207104911165,2023-02-07 10:49:11,18.91,-2.91,5.82,17.46,-1.45,-0.04
20230207104911351,2023-02-07 10:49:11,-7.27,4.36,-2.91,-4.36,-4.36,0.02
20230207104911536,2023-02-07 10:49:11,16.00,1.45,-2.91,16.00,1.45,-0.01
20230207104911741,2023-02-07 10:49:11,-17.46,-7.27,-4.36,-2.91,-2.91,-0.02
20230207104911956,2023-02-07 10:49:11,7.27,-7.27,-4.36,16.00,2.91,0.02
20230207104912169,2023-02-07 10:49:12,10.18,1.45,0.00,11.64,-2.91,0.02
20230207104912384,2023-02-07 10:49:12,11.64,-2.91,5.82,8.73,0.00,-0.02
20230207104912598,2023-02-07 10:49:12,-24.73,-13.09,0.00,-5.82,-5.82,0.00
20230207104912788,2023-02-07 10:49:12,-18.91,-10.18,-4.36,-2.91,-1.45,0.02
20230207104912975,2023-02-07 10:49:12,-11.64,0.00,-4.36,-4.36,-2.91,0.03
20230207104913160,2023-02-07 10:49:13,-5.82,-10.18,1.45,4.36,-1.45,-0.02
20230207104913346,2023-02-07 10:49:13,-1.45,-8.73,4.36,5.82,-2.91,-0.01
20230207104913531,2023-02-07 10:49:13,1.45,0.00,1.45,-2.91,2.91,0.03
20230207104913728,2023-02-07 10:49:13,-11.64,-5.82,4.36,-4.36,-5.82,0.00
20230207104913946,2023-02-07 10:49:13,2.91,-13.09,5.82,14.55,-4.36,-0.02
20230207104914162,2023-02-07 10:49:14,18.91,2.91,8.73,8.73,-1.45,0.02
20230207104914378,2023-02-07 10:49:14,7.27,-2.91,2.91,5.82,1.45,0.02
20230207104914724,2023-02-07 10:49:14,1.45,-1.45,5.82,-1.45,-1.45,-0.01
20230207104914912,2023-02-07 10:49:14,11.64,1.45,0.00,11.64,-1.45,-0.02
20230207104915100,2023-02-07 10:49:15,13.09,2.91,1.45,11.64,-2.91,0.01
20230207104915286,2023-02-07 10:49:15,10.18,-8.73,7.27,16.00,-4.36,0.01
20230207104915472,2023-02-07 10:49:15,17.46,1.45,1.45,11.64,2.91,0.01
20230207104915660,2023-02-07 10:49:15,-1.45,-8.73,2.91,11.64,-7.27,0.03
20230207104915870,2023-02-07 10:49:15,-4.36,0.00,-2.91,-1.45,0.00,-0.02
20230207104916086,2023-02-07 10:49:16,5.82,1.45,5.82,2.91,-4.36,0.04
20230207104916299,2023-02-07 10:49:16,-5.82,-5.82,4.36,-7.27,2.91,0.03
20230207104916513,2023-02-07 10:49:16,-16.00,-10.18,4.36,-5.82,-4.36,-0.01
20230207104916787,2023-02-07 10:49:16,2.91,-7.27,8.73,4.36,-2.91,-0.03
20230207104917061,2023-02-07 10:49:17,-2.91,-5.82,4.36,-2.91,1.45,-0.01
20230207104917330,2023-02-07 10:49:17,13.09,2.91,4.36,8.73,-2.91,0.00
20230207104917604,2023-02-07 10:49:17,13.09,-2.91,7.27,10.18,-1.45,0.00
20230207104917889,2023-02-07 10:49:17,4.36,-11.64,8.73,7.27,0.00,0.00
20230207104918221,2023-02-07 10:49:18,-16.00,-8.73,2.91,-5.82,-4.36,0.01
20230207104918532,2023-02-07 10:49:18,-8.73,-1.45,-4.36,-2.91,0.00,-0.01
20230207104918833,2023-02-07 10:49:18,-4.36,0.00,5.82,-8.73,-1.45,0.00
20230207104919101,2023-02-07 10:49:19,0.00,-10.18,5.82,7.27,-2.91,-0.03
20230207104919365,2023-02-07 10:49:19,2.91,-13.09,5.82,14.55,-4.36,0.01
20230207104919750,2023-02-07 10:49:19,-11.64,-13.09,4.36,-5.82,2.91,-0.01
20230207104919976,2023-02-07 10:49:19,14.55,4.36,-2.91,13.09,0.00,0.02
20230207104920190,2023-02-07 10:49:20,7.27,5.82,8.73,-7.27,0.00,0.00
20230207104926053,2023-02-07 10:49:26,94.57,30.55,59.65,1.45,2.91,0.01
20230207104926238,2023-02-07 10:49:26,183.31,45.10,87.29,42.19,8.73,0.01
20230207104926423,2023-02-07 10:49:26,242.96,53.83,123.66,48.01,17.46,-0.01
20230207104926610,2023-02-07 10:49:26,320.07,75.65,139.67,74.20,30.55,0.01
20230207104926795,2023-02-07 10:49:26,350.62,80.02,155.67,78.56,36.37,-0.01
20230207104926977,2023-02-07 10:49:26,363.72,75.65,167.31,84.38,36.37,0.01
20230207104927136,2023-02-07 10:49:27,456.83,96.02,206.59,107.66,46.56,0.03
20230207104927297,2023-02-07 10:49:27,515.02,114.93,244.42,97.48,58.19,0.06
20230207104927456,2023-02-07 10:49:27,576.13,132.39,248.78,132.39,62.56,0.00
20230207104927615,2023-02-07 10:49:27,586.31,146.94,254.60,113.48,71.29,0.00
20230207104927775,2023-02-07 10:49:27,645.96,161.49,279.33,141.12,64.01,-0.01
20230207104927934,2023-02-07 10:49:27,686.70,174.58,289.52,148.40,74.20,0.01
20230207104928110,2023-02-07 10:49:28,696.88,176.04,301.16,146.94,72.74,0.01
20230207104928295,2023-02-07 10:49:28,686.70,167.31,290.97,154.22,74.20,0.02
20230207104928479,2023-02-07 10:49:28,682.33,167.31,293.88,145.49,75.65,-0.01
20230207104928664,2023-02-07 10:49:28,181.86,49.47,71.29,46.56,14.55,0.00
20230207104928852,2023-02-07 10:49:28,5.82,7.27,20.37,-21.82,0.00,-0.03
20230207104929058,2023-02-07 10:49:29,13.09,10.18,5.82,-10.18,7.27,-0.03
20230207104929245,2023-02-07 10:49:29,5.82,10.18,7.27,-16.00,4.36,0.05
20230207104929432,2023-02-07 10:49:29,16.00,8.73,11.64,-8.73,4.36,-0.03
20230207104929622,2023-02-07 10:49:29,26.19,13.09,27.64,-16.00,1.45,-0.03
20230207104929814,2023-02-07 10:49:29,116.39,24.73,69.83,8.73,13.09,-0.01
20230207104929974,2023-02-07 10:49:29,279.33,61.10,130.94,61.10,26.19,0.03
20230207104930211,2023-02-07 10:49:30,414.64,104.75,187.68,78.56,43.65,-0.03
20230207104930484,2023-02-07 10:49:30,541.21,133.85,248.78,94.57,64.01,-0.04
20230207104930751,2023-02-07 10:49:30,714.34,165.85,314.25,148.40,85.84,-0.03
20230207104931016,2023-02-07 10:49:30,848.19,206.59,350.62,192.04,98.93,-0.02
20230207104931264,2023-02-07 10:49:31,868.55,212.41,350.62,206.59,98.93,0.06
20230207104931492,2023-02-07 10:49:31,810.36,196.41,347.71,171.67,94.57,0.01
20230207104931723,2023-02-07 10:49:31,187.68,46.56,82.93,43.65,14.55,-0.02
20230207104931950,2023-02-07 10:49:31,33.46,18.91,17.46,-13.09,10.18,0.01
20230207104932249,2023-02-07 10:49:32,21.82,16.00,5.82,0.00,0.00,0.00
20230207104932573,2023-02-07 10:49:32,-18.91,0.00,0.00,-21.82,2.91,0.02
20230207104932893,2023-02-07 10:49:32,59.65,27.64,27.64,4.36,0.00,-0.01
20230207104933198,2023-02-07 10:49:33,128.03,21.82,69.83,30.55,5.82,0.04
20230207104933389,2023-02-07 10:49:33,269.15,56.74,135.30,48.01,29.10,0.01
20230207104933549,2023-02-07 10:49:33,436.46,104.75,203.68,82.93,45.10,0.03
20230207104933708,2023-02-07 10:49:33,586.31,145.49,245.87,130.94,64.01,-0.01
20230207104933868,2023-02-07 10:49:33,635.78,161.49,276.42,126.57,71.29,0.00
20230207104934027,2023-02-07 10:49:34,683.79,173.13,299.70,135.30,75.65,-0.03
20230207104934198,2023-02-07 10:49:34,269.15,72.74,125.12,45.10,26.19,-0.02
20230207104934384,2023-02-07 10:49:34,53.83,20.37,13.09,13.09,7.27,-0.02
20230207104934599,2023-02-07 10:49:34,4.36,0.00,8.73,-5.82,1.45,-0.01
20230207104934814,2023-02-07 10:49:34,93.11,16.00,43.65,23.28,10.18,-0.03
20230207104934997,2023-02-07 10:49:34,190.59,43.65,101.84,29.10,16.00,0.02
20230207104935176,2023-02-07 10:49:35,346.26,81.47,167.31,58.19,39.28,0.03
20230207104935338,2023-02-07 10:49:35,608.13,141.12,260.42,136.76,69.83,0.02
20230207104935498,2023-02-07 10:49:35,823.45,215.32,347.71,167.31,93.11,0.02
20230207104935657,2023-02-07 10:49:35,912.20,218.23,369.54,218.23,106.21,-0.05
20230207104935818,2023-02-07 10:49:35,561.58,122.21,238.60,142.58,58.19,-0.05
20230207104935980,2023-02-07 10:49:35,58.19,26.19,27.64,0.00,4.36,0.01
20230207104936168,2023-02-07 10:49:36,-13.09,1.45,7.27,-21.82,0.00,0.03
20230207104936389,2023-02-07 10:49:36,4.36,8.73,4.36,-10.18,1.45,0.00
20230207104936605,2023-02-07 10:49:36,55.28,21.82,36.37,-8.73,5.82,0.03
20230207104936822,2023-02-07 10:49:36,112.02,34.92,58.19,5.82,13.09,-0.01
20230207104937008,2023-02-07 10:49:36,248.78,53.83,123.66,43.65,27.64,0.02
20230207104937192,2023-02-07 10:49:37,352.08,82.93,165.85,68.38,34.92,0.02
20230207104937355,2023-02-07 10:49:37,564.49,145.49,238.60,122.21,58.19,0.01
20230207104937514,2023-02-07 10:49:37,695.43,174.58,302.61,139.67,78.56,-0.01
20230207104937674,2023-02-07 10:49:37,862.74,221.14,354.99,192.04,94.57,0.05
20230207104937835,2023-02-07 10:49:37,874.37,212.41,362.26,196.41,103.30,0.01
20230207104937994,2023-02-07 10:49:37,711.43,183.31,304.07,148.40,75.65,0.01
20230207104938154,2023-02-07 10:49:38,106.21,23.28,48.01,26.19,8.73,0.01
20230207104938328,2023-02-07 10:49:38,37.83,10.18,14.55,11.64,1.45,-0.01
20230207104938543,2023-02-07 10:49:38,-0.00,4.36,0.00,-11.64,7.27,0.01
20230207104938760,2023-02-07 10:49:38,30.55,10.18,29.10,-10.18,1.45,-0.05
20230207104938974,2023-02-07 10:49:38,152.76,37.83,65.47,39.28,10.18,-0.02
20230207104939159,2023-02-07 10:49:39,280.79,59.65,123.66,71.29,26.19,0.00
20230207104939330,2023-02-07 10:49:39,375.36,81.47,173.13,71.29,49.47,0.01
20230207104939488,2023-02-07 10:49:39,497.56,128.03,218.23,90.20,61.10,0.02
20230207104939647,2023-02-07 10:49:39,638.69,154.22,274.97,138.21,71.29,0.03
20230207104939809,2023-02-07 10:49:39,744.89,183.31,305.52,173.13,82.93,-0.02
20230207104939968,2023-02-07 10:49:39,757.98,192.04,320.07,160.04,85.84,-0.01
20230207104940129,2023-02-07 10:49:40,549.94,123.66,238.60,126.57,61.10,0.03
20230207104940290,2023-02-07 10:49:40,87.29,29.10,34.92,18.91,4.36,0.03
20230207104940475,2023-02-07 10:49:40,18.91,7.27,5.82,5.82,0.00,-0.04
20230207104940690,2023-02-07 10:49:40,18.91,10.18,10.18,-7.27,5.82,0.01
20230207104940905,2023-02-07 10:49:40,0.00,17.46,1.45,-21.82,2.91,0.00
20230207104941122,2023-02-07 10:49:41,1.45,0.00,2.91,-1.45,0.00,-0.04
20230207104941333,2023-02-07 10:49:41,18.91,8.73,2.91,0.00,7.27,-0.03
20230207104941524,2023-02-07 10:49:41,11.64,21.82,10.18,-21.82,1.45,0.04
20230207104941711,2023-02-07 10:49:41,72.74,26.19,30.55,11.64,4.36,0.01
20230207104941898,2023-02-07 10:49:41,199.32,45.10,96.02,42.19,16.00,-0.03
20230207104942057,2023-02-07 10:49:42,292.43,77.11,146.94,39.28,29.10,0.05
20230207104942218,2023-02-07 10:49:42,413.18,110.57,189.13,64.01,49.47,-0.02
20230207104942386,2023-02-07 10:49:42,583.40,133.85,260.42,123.66,65.47,0.00
20230207104942569,2023-02-07 10:49:42,714.34,168.76,296.79,168.76,80.02,-0.05
20230207104942753,2023-02-07 10:49:42,743.44,184.77,312.80,165.85,80.02,-0.03
20230207104942936,2023-02-07 10:49:42,782.72,183.31,325.89,186.22,87.29,-0.01
20230207104943121,2023-02-07 10:49:43,376.81,82.93,162.94,90.20,40.74,0.03
20230207104943306,2023-02-07 10:49:43,29.10,18.91,23.28,-14.55,1.45,0.03
20230207104943512,2023-02-07 10:49:43,7.27,8.73,13.09,-18.91,4.36,-0.01
20230207104943787,2023-02-07 10:49:43,14.55,14.55,16.00,-21.82,5.82,-0.01
20230207104944057,2023-02-07 10:49:44,77.11,27.64,34.92,14.55,0.00,0.03
20230207104944290,2023-02-07 10:49:44,184.77,52.38,88.75,26.19,17.46,0.01
20230207104944551,2023-02-07 10:49:44,288.06,69.83,141.12,45.10,32.01,0.01
20230207104944816,2023-02-07 10:49:44,397.18,91.66,176.04,87.29,42.19,0.03
20230207104945082,2023-02-07 10:49:45,517.93,129.48,228.41,101.84,58.19,-0.01
20230207104945359,2023-02-07 10:49:45,608.13,139.67,264.79,133.85,69.83,0.01
