 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230125123236233,2023-01-25 12:32:36,5.82,-7.27,0.00,11.64,1.45,0.00
20230125123236414,2023-01-25 12:32:36,20.37,2.91,1.45,13.09,2.91,0.02
20230125123236595,2023-01-25 12:32:36,5.82,-2.91,-2.91,8.73,2.91,0.01
20230125123236776,2023-01-25 12:32:36,11.64,-1.45,1.45,11.64,0.00,-0.01
20230125123236957,2023-01-25 12:32:36,1.45,-2.91,1.45,0.00,2.91,0.01
20230125123237139,2023-01-25 12:32:37,14.55,-4.36,2.91,13.09,2.91,0.00
20230125123237343,2023-01-25 12:32:37,1.45,1.45,0.00,1.45,-1.45,0.03
20230125123237554,2023-01-25 12:32:37,1.45,0.00,0.00,0.00,1.45,0.01
20230125123237764,2023-01-25 12:32:37,11.64,0.00,-2.91,11.64,2.91,0.01
20230125123237975,2023-01-25 12:32:37,8.73,2.91,2.91,0.00,2.91,0.01
20230125123238191,2023-01-25 12:32:38,-0.00,-7.27,0.00,8.73,-1.45,0.01
20230125123238375,2023-01-25 12:32:38,7.27,-2.91,-2.91,10.18,2.91,0.01
20230125123238558,2023-01-25 12:32:38,11.64,0.00,-1.45,10.18,2.91,0.03
20230125123238740,2023-01-25 12:32:38,5.82,1.45,0.00,1.45,2.91,-0.01
20230125123238923,2023-01-25 12:32:38,5.82,1.45,0.00,1.45,2.91,0.00
20230125123239106,2023-01-25 12:32:39,0.00,-4.36,1.45,0.00,2.91,0.01
20230125123239297,2023-01-25 12:32:39,5.82,-7.27,0.00,11.64,1.45,0.00
20230125123239515,2023-01-25 12:32:39,-7.27,-2.91,-2.91,0.00,-1.45,0.01
20230125123239726,2023-01-25 12:32:39,5.82,-1.45,0.00,8.73,-1.45,0.03
20230125123239937,2023-01-25 12:32:39,-5.82,-5.82,0.00,0.00,0.00,0.00
20230125123240148,2023-01-25 12:32:40,-4.36,-5.82,1.45,0.00,0.00,0.00
20230125123240344,2023-01-25 12:32:40,2.91,-8.73,0.00,13.09,-1.45,0.02
20230125123240526,2023-01-25 12:32:40,-4.36,-5.82,0.00,0.00,1.45,-0.01
20230125123240713,2023-01-25 12:32:40,-1.45,-5.82,0.00,1.45,2.91,0.02
20230125123240896,2023-01-25 12:32:40,-1.45,-5.82,-2.91,4.36,2.91,0.01
20230125123241080,2023-01-25 12:32:41,-5.82,-1.45,-2.91,0.00,-1.45,-0.01
20230125123241266,2023-01-25 12:32:41,1.45,-4.36,-2.91,10.18,-1.45,-0.02
20230125123241479,2023-01-25 12:32:41,4.36,1.45,-1.45,0.00,4.36,-0.01
20230125123241697,2023-01-25 12:32:41,2.91,0.00,2.91,0.00,0.00,0.01
20230125123241914,2023-01-25 12:32:41,13.09,-2.91,1.45,11.64,2.91,0.01
20230125123242135,2023-01-25 12:32:42,2.91,2.91,-1.45,0.00,1.45,0.03
20230125123242340,2023-01-25 12:32:42,10.18,1.45,2.91,5.82,0.00,0.00
20230125123242522,2023-01-25 12:32:42,0.00,-4.36,4.36,0.00,0.00,-0.01
20230125123242707,2023-01-25 12:32:42,4.36,0.00,2.91,0.00,1.45,-0.02
20230125123242894,2023-01-25 12:32:42,20.37,2.91,0.00,14.55,2.91,-0.01
20230125123243077,2023-01-25 12:32:43,7.27,-2.91,-1.45,10.18,1.45,0.01
20230125123243260,2023-01-25 12:32:43,17.46,4.36,0.00,13.09,0.00,0.00
20230125123243460,2023-01-25 12:32:43,-5.82,-5.82,-1.45,0.00,1.45,-0.02
20230125123243670,2023-01-25 12:32:43,11.64,2.91,0.00,10.18,-1.45,0.01
20230125123243889,2023-01-25 12:32:43,-2.91,-1.45,-1.45,0.00,0.00,-0.01
20230125123244100,2023-01-25 12:32:44,1.45,1.45,-2.91,0.00,2.91,0.00
20230125123244313,2023-01-25 12:32:44,4.36,-1.45,1.45,1.45,2.91,0.01
20230125123244505,2023-01-25 12:32:44,11.64,1.45,0.00,5.82,4.36,0.03
20230125123244687,2023-01-25 12:32:44,16.00,2.91,0.00,13.09,0.00,-0.01
20230125123244871,2023-01-25 12:32:44,-7.27,-4.36,-1.45,0.00,-1.45,0.00
20230125123245055,2023-01-25 12:32:45,8.73,-4.36,1.45,11.64,0.00,0.00
20230125123245238,2023-01-25 12:32:45,8.73,-5.82,-1.45,13.09,2.91,-0.01
20230125123245429,2023-01-25 12:32:45,-2.91,-2.91,-2.91,0.00,2.91,0.01
20230125123245640,2023-01-25 12:32:45,1.45,-7.27,1.45,8.73,-1.45,0.01
20230125123245851,2023-01-25 12:32:45,-1.45,-1.45,0.00,0.00,0.00,0.00
20230125123254966,2023-01-25 12:32:54,85.84,14.55,8.73,43.65,18.91,0.03
20230125123255120,2023-01-25 12:32:55,113.48,32.01,14.55,39.28,27.64,0.00
20230125123255275,2023-01-25 12:32:55,114.93,32.01,10.18,43.65,29.10,-0.04
20230125123255429,2023-01-25 12:32:55,158.58,39.28,20.37,61.10,37.83,0.01
20230125123255584,2023-01-25 12:32:55,186.22,46.56,27.64,68.38,43.65,0.00
20230125123255757,2023-01-25 12:32:55,237.14,62.56,33.46,87.29,53.83,0.00
20230125123255936,2023-01-25 12:32:55,276.42,75.65,40.74,88.75,71.29,-0.02
20230125123256115,2023-01-25 12:32:56,309.89,84.38,46.56,106.21,72.74,0.00
20230125123256294,2023-01-25 12:32:56,370.99,103.30,58.19,117.84,91.66,0.00
