 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230125090518097,2023-01-25 09:05:18,5.82,-7.27,0.00,11.64,1.45,0.00
20230125090518306,2023-01-25 09:05:18,20.37,2.91,1.45,13.09,2.91,0.02
20230125090518517,2023-01-25 09:05:18,5.82,-2.91,-2.91,8.73,2.91,0.01
20230125090518727,2023-01-25 09:05:18,11.64,-1.45,1.45,11.64,0.00,-0.01
20230125090518913,2023-01-25 09:05:18,1.45,-2.91,1.45,0.00,2.91,0.01
20230125090519096,2023-01-25 09:05:19,14.55,-4.36,2.91,13.09,2.91,0.00
20230125090519422,2023-01-25 09:05:19,1.45,1.45,0.00,1.45,-1.45,0.03
20230125090519607,2023-01-25 09:05:19,1.45,0.00,0.00,0.00,1.45,0.01
20230125090519797,2023-01-25 09:05:19,11.64,0.00,-2.91,11.64,2.91,0.01
