 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230201084255124,2023-02-01 08:42:55,-21.82,-1.45,0.00,-20.37,0.00,0.01
20230201084255510,2023-02-01 08:42:55,-10.18,-2.91,0.00,-2.91,-4.36,0.01
20230201084255920,2023-02-01 08:42:55,-8.73,-2.91,0.00,-1.45,-4.36,0.01
20230201084256262,2023-02-01 08:42:56,-23.28,-2.91,4.36,-20.37,-4.36,0.04
20230201084256577,2023-02-01 08:42:56,24.73,4.36,16.00,7.27,-2.91,-0.02
20230201084256925,2023-02-01 08:42:56,-23.28,-1.45,4.36,-20.37,-5.82,0.06
20230201084257099,2023-02-01 08:42:57,-13.09,-1.45,4.36,-10.18,-5.82,0.02
20230201084257274,2023-02-01 08:42:57,-14.55,-7.27,2.91,-4.36,-5.82,0.00
20230201084257448,2023-02-01 08:42:57,-23.28,-7.27,1.45,-11.64,-5.82,-0.06
20230201084257621,2023-02-01 08:42:57,-24.73,-7.27,7.27,-20.37,-4.36,-0.02
20230201084257799,2023-02-01 08:42:57,-26.19,0.00,0.00,-20.37,-5.82,0.04
20230201084257999,2023-02-01 08:42:57,-0.00,5.82,7.27,-16.00,2.91,0.00
20230201084258199,2023-02-01 08:42:58,4.36,-5.82,18.91,-13.09,4.36,0.04
20230201084258399,2023-02-01 08:42:58,29.10,10.18,8.73,-4.36,14.55,0.05
20230201084258599,2023-02-01 08:42:58,77.11,32.01,16.00,1.45,27.64,-0.02
20230201084258773,2023-02-01 08:42:58,145.49,43.65,21.82,37.83,42.19,0.01
20230201084258923,2023-02-01 08:42:58,245.87,72.74,43.65,58.19,71.29,0.03
20230201084259070,2023-02-01 08:42:59,338.98,91.66,53.83,100.39,93.11,-0.04
20230201084259216,2023-02-01 08:42:59,401.54,113.48,58.19,106.21,123.66,0.03
20230201084259394,2023-02-01 08:42:59,469.92,129.48,64.01,125.12,151.31,0.01
20230201084259603,2023-02-01 08:42:59,590.68,167.31,88.75,160.04,174.58,-0.01
20230201084259812,2023-02-01 08:42:59,699.79,181.86,109.11,197.86,210.96,-0.02
20230201084300065,2023-02-01 08:43:00,827.82,226.96,139.67,215.32,245.87,0.01
20230201084300318,2023-02-01 08:43:00,843.82,228.41,141.12,225.50,248.78,0.04
20230201084300735,2023-02-01 08:43:00,867.10,240.05,141.12,240.05,245.87,0.01
20230201084300971,2023-02-01 08:43:00,854.01,221.14,154.22,232.78,245.87,0.05
20230201084301180,2023-02-01 08:43:01,858.37,228.41,152.76,229.87,247.33,0.03
20230201084301388,2023-02-01 08:43:01,848.19,234.23,146.94,226.96,240.05,0.03
20230201084301597,2023-02-01 08:43:01,848.19,225.50,145.49,240.05,237.14,0.03
20230201084301806,2023-02-01 08:43:01,832.18,231.32,135.30,228.41,237.14,-0.01
20230201084302038,2023-02-01 08:43:02,312.80,84.38,49.47,101.84,77.11,-0.02
20230201084302464,2023-02-01 08:43:02,27.64,4.36,14.55,5.82,2.91,-0.01
20230201084302906,2023-02-01 08:43:02,-8.73,-4.36,0.00,-1.45,-2.91,-0.02
20230201084303280,2023-02-01 08:43:03,-0.00,2.91,4.36,-7.27,0.00,0.01
20230201084303630,2023-02-01 08:43:03,-2.91,-2.91,0.00,0.00,0.00,0.01
20230201084304002,2023-02-01 08:43:03,-10.18,2.91,4.36,-13.09,-4.36,0.00
20230201084304404,2023-02-01 08:43:04,1.45,7.27,5.82,-7.27,-4.36,0.00
