 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230122145100888,2023-01-22 14:51:00,5.82,-7.27,0.00,11.64,1.45,0.00
20230122145101147,2023-01-22 14:51:01,20.37,2.91,1.45,13.09,2.91,0.02
20230122145101380,2023-01-22 14:51:01,5.82,-2.91,-2.91,8.73,2.91,0.01
20230122145101714,2023-01-22 14:51:01,11.64,-1.45,1.45,11.64,0.00,-0.01
20230122145102046,2023-01-22 14:51:02,1.45,-2.91,1.45,0.00,2.91,0.01
20230122145102611,2023-01-22 14:51:02,14.55,-4.36,2.91,13.09,2.91,0.00
20230122145103022,2023-01-22 14:51:02,1.45,1.45,0.00,1.45,-1.45,0.03
20230122145103393,2023-01-22 14:51:03,1.45,0.00,0.00,0.00,1.45,0.01
20230122145103748,2023-01-22 14:51:03,11.64,0.00,-2.91,11.64,2.91,0.01
