 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230122145447502,2023-01-22 14:54:47,5.82,-7.27,0.00,11.64,1.45,0.00
20230122145447830,2023-01-22 14:54:47,20.37,2.91,1.45,13.09,2.91,0.02
20230122145448097,2023-01-22 14:54:48,5.82,-2.91,-2.91,8.73,2.91,0.01
20230122145448369,2023-01-22 14:54:48,11.64,-1.45,1.45,11.64,0.00,-0.01
20230122145448613,2023-01-22 14:54:48,1.45,-2.91,1.45,0.00,2.91,0.01
20230122145448858,2023-01-22 14:54:48,14.55,-4.36,2.91,13.09,2.91,0.00
20230122145449099,2023-01-22 14:54:49,1.45,1.45,0.00,1.45,-1.45,0.03
20230122145449345,2023-01-22 14:54:49,1.45,0.00,0.00,0.00,1.45,0.01
20230122145449619,2023-01-22 14:54:49,11.64,0.00,-2.91,11.64,2.91,0.01
