 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230131103615905,2023-01-31 10:36:15,5.82,-7.27,0.00,11.64,1.45,0.00
20230131103616148,2023-01-31 10:36:16,20.37,2.91,1.45,13.09,2.91,0.02
20230131103616388,2023-01-31 10:36:16,5.82,-2.91,-2.91,8.73,2.91,0.01
20230131103616633,2023-01-31 10:36:16,11.64,-1.45,1.45,11.64,0.00,-0.01
20230131103616877,2023-01-31 10:36:16,1.45,-2.91,1.45,0.00,2.91,0.01
20230131103617120,2023-01-31 10:36:17,14.55,-4.36,2.91,13.09,2.91,0.00
20230131103617335,2023-01-31 10:36:17,1.45,1.45,0.00,1.45,-1.45,0.03
20230131103617547,2023-01-31 10:36:17,1.45,0.00,0.00,0.00,1.45,0.01
20230131103617823,2023-01-31 10:36:17,11.64,0.00,-2.91,11.64,2.91,0.01
20230131103618123,2023-01-31 10:36:18,8.73,2.91,2.91,0.00,2.91,0.01
20230131103618361,2023-01-31 10:36:18,-0.00,-7.27,0.00,8.73,-1.45,0.01
20230131103618610,2023-01-31 10:36:18,7.27,-2.91,-2.91,10.18,2.91,0.01
20230131103618852,2023-01-31 10:36:18,11.64,0.00,-1.45,10.18,2.91,0.03
20230131103619101,2023-01-31 10:36:19,5.82,1.45,0.00,1.45,2.91,-0.01
20230131103619321,2023-01-31 10:36:19,5.82,1.45,0.00,1.45,2.91,0.00
20230131103619537,2023-01-31 10:36:19,0.00,-4.36,1.45,0.00,2.91,0.01
20230131103619749,2023-01-31 10:36:19,5.82,-7.27,0.00,11.64,1.45,0.00
20230131103619962,2023-01-31 10:36:19,-7.27,-2.91,-2.91,0.00,-1.45,0.01
20230131103620347,2023-01-31 10:36:20,5.82,-1.45,0.00,8.73,-1.45,0.03
20230131103620588,2023-01-31 10:36:20,-5.82,-5.82,0.00,0.00,0.00,0.00
20230131103620828,2023-01-31 10:36:20,-4.36,-5.82,1.45,0.00,0.00,0.00
20230131103621069,2023-01-31 10:36:21,2.91,-8.73,0.00,13.09,-1.45,0.02
20230131103621311,2023-01-31 10:36:21,-4.36,-5.82,0.00,0.00,1.45,-0.01
20230131103621523,2023-01-31 10:36:21,-1.45,-5.82,0.00,1.45,2.91,0.02
20230131103621737,2023-01-31 10:36:21,-1.45,-5.82,-2.91,4.36,2.91,0.01
20230131103621945,2023-01-31 10:36:21,-5.82,-1.45,-2.91,0.00,-1.45,-0.01
20230131103622159,2023-01-31 10:36:22,1.45,-4.36,-2.91,10.18,-1.45,-0.02
20230131103622492,2023-01-31 10:36:22,4.36,1.45,-1.45,0.00,4.36,-0.01
20230131103622818,2023-01-31 10:36:22,2.91,0.00,2.91,0.00,0.00,0.01
20230131103623070,2023-01-31 10:36:23,13.09,-2.91,1.45,11.64,2.91,0.01
20230131103623313,2023-01-31 10:36:23,2.91,2.91,-1.45,0.00,1.45,0.03
20230131103623526,2023-01-31 10:36:23,10.18,1.45,2.91,5.82,0.00,0.00
20230131103623736,2023-01-31 10:36:23,0.00,-4.36,4.36,0.00,0.00,-0.01
20230131103623954,2023-01-31 10:36:23,4.36,0.00,2.91,0.00,1.45,-0.02
20230131103624164,2023-01-31 10:36:24,20.37,2.91,0.00,14.55,2.91,-0.01
20230131103624384,2023-01-31 10:36:24,7.27,-2.91,-1.45,10.18,1.45,0.01
20230131103624630,2023-01-31 10:36:24,17.46,4.36,0.00,13.09,0.00,0.00
20230131103625057,2023-01-31 10:36:25,-5.82,-5.82,-1.45,0.00,1.45,-0.02
20230131103625305,2023-01-31 10:36:25,11.64,2.91,0.00,10.18,-1.45,0.01
20230131103625521,2023-01-31 10:36:25,-2.91,-1.45,-1.45,0.00,0.00,-0.01
20230131103625748,2023-01-31 10:36:25,1.45,1.45,-2.91,0.00,2.91,0.00
20230131103626057,2023-01-31 10:36:26,4.36,-1.45,1.45,1.45,2.91,0.01
20230131103626363,2023-01-31 10:36:26,11.64,1.45,0.00,5.82,4.36,0.03
20230131103626718,2023-01-31 10:36:26,16.00,2.91,0.00,13.09,0.00,-0.01
20230131103627164,2023-01-31 10:36:27,-7.27,-4.36,-1.45,0.00,-1.45,0.00
20230131103627630,2023-01-31 10:36:27,8.73,-4.36,1.45,11.64,0.00,0.00
20230131103627934,2023-01-31 10:36:27,8.73,-5.82,-1.45,13.09,2.91,-0.01
20230131103628236,2023-01-31 10:36:28,-2.91,-2.91,-2.91,0.00,2.91,0.01
20230131103628562,2023-01-31 10:36:28,1.45,-7.27,1.45,8.73,-1.45,0.01
20230131103628937,2023-01-31 10:36:28,-1.45,-1.45,0.00,0.00,0.00,0.00
20230131103639168,2023-01-31 10:36:39,85.84,14.55,8.73,43.65,18.91,0.03
20230131103639496,2023-01-31 10:36:39,113.48,32.01,14.55,39.28,27.64,0.00
20230131103639783,2023-01-31 10:36:39,114.93,32.01,10.18,43.65,29.10,-0.04
20230131103640053,2023-01-31 10:36:40,158.58,39.28,20.37,61.10,37.83,0.01
20230131103640319,2023-01-31 10:36:40,186.22,46.56,27.64,68.38,43.65,0.00
20230131103640580,2023-01-31 10:36:40,237.14,62.56,33.46,87.29,53.83,0.00
20230131103640873,2023-01-31 10:36:40,276.42,75.65,40.74,88.75,71.29,-0.02
20230131103641330,2023-01-31 10:36:41,309.89,84.38,46.56,106.21,72.74,0.00
20230131103641714,2023-01-31 10:36:41,370.99,103.30,58.19,117.84,91.66,0.00
20230131103641973,2023-01-31 10:36:41,451.01,128.03,77.11,132.39,113.48,0.04
20230131103642231,2023-01-31 10:36:42,512.11,145.49,81.47,165.85,119.30,-0.01
20230131103642503,2023-01-31 10:36:42,507.75,138.21,82.93,165.85,120.75,0.03
20230131103642698,2023-01-31 10:36:42,480.11,141.12,78.56,145.49,114.93,0.00
20230131103642899,2023-01-31 10:36:42,494.65,138.21,77.11,160.04,119.30,-0.02
20230131103643107,2023-01-31 10:36:43,485.93,145.49,80.02,145.49,114.93,-0.03
20230131103643319,2023-01-31 10:36:43,490.29,135.30,78.56,160.04,116.39,-0.01
20230131103643573,2023-01-31 10:36:43,481.56,144.03,74.20,146.94,116.39,-0.01
20230131103643909,2023-01-31 10:36:43,484.47,144.03,74.20,149.85,116.39,0.05
20230131103644090,2023-01-31 10:36:44,478.65,142.58,71.29,146.94,117.84,0.02
20230131103644273,2023-01-31 10:36:44,512.11,145.49,87.29,149.85,129.48,-0.01
20230131103644465,2023-01-31 10:36:44,618.32,174.58,103.30,192.04,148.40,0.03
20230131103644648,2023-01-31 10:36:44,616.86,178.95,106.21,180.40,151.31,0.03
20230131103644848,2023-01-31 10:36:44,609.59,168.76,101.84,184.77,154.22,0.02
20230131103645059,2023-01-31 10:36:45,613.95,178.95,101.84,184.77,148.40,0.00
20230131103645268,2023-01-31 10:36:45,622.68,174.58,100.39,197.86,149.85,0.00
20230131103645480,2023-01-31 10:36:45,618.32,174.58,96.02,200.77,146.94,-0.04
20230131103645695,2023-01-31 10:36:45,606.68,171.67,100.39,184.77,149.85,0.01
20230131103645962,2023-01-31 10:36:45,613.95,176.04,107.66,181.86,148.40,0.01
20230131103646242,2023-01-31 10:36:46,612.50,167.31,96.02,199.32,149.85,-0.03
20230131103646428,2023-01-31 10:36:46,605.22,173.13,101.84,184.77,145.49,0.01
20230131103646615,2023-01-31 10:36:46,593.59,167.31,101.84,177.49,146.94,0.00
20230131103646807,2023-01-31 10:36:46,368.08,101.84,50.92,130.94,84.38,-0.02
20230131103647018,2023-01-31 10:36:47,119.30,29.10,13.09,48.01,29.10,-0.02
20230131103647233,2023-01-31 10:36:47,42.19,5.82,4.36,24.73,7.27,-0.01
20230131103647482,2023-01-31 10:36:47,14.55,-4.36,2.91,16.00,0.00,-0.03
