 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230208134021592,2023-02-08 13:40:21,46.56,14.55,7.27,26.19,-1.45,0.11
20230208134021788,2023-02-08 13:40:21,43.65,10.18,18.91,13.09,1.45,0.12
20230208134021965,2023-02-08 13:40:21,112.02,23.28,34.92,48.01,5.82,0.16
20230208134022115,2023-02-08 13:40:22,144.03,33.46,55.28,43.65,11.64,0.18
20230208134022264,2023-02-08 13:40:22,225.50,45.10,81.47,69.83,29.10,0.16
20230208134022415,2023-02-08 13:40:22,299.70,64.01,114.93,81.47,39.28,0.16
20230208134022588,2023-02-08 13:40:22,408.82,98.93,164.40,94.57,50.92,0.21
20230208134022767,2023-02-08 13:40:22,547.03,138.21,213.87,126.57,68.38,0.23
20230208134022942,2023-02-08 13:40:22,680.88,171.67,269.15,146.94,93.11,0.25
20230208134023115,2023-02-08 13:40:23,814.72,202.23,322.98,186.22,103.30,0.24
20230208134023289,2023-02-08 13:40:23,875.83,210.96,349.17,205.14,110.57,0.23
20230208134023460,2023-02-08 13:40:23,854.01,218.23,328.80,192.04,114.93,0.24
20230208134023611,2023-02-08 13:40:23,209.50,46.56,74.20,65.47,23.28,0.12
20230208134023761,2023-02-08 13:40:23,32.01,2.91,13.09,10.18,5.82,0.01
20230208134023938,2023-02-08 13:40:23,-1.45,-5.82,-5.82,8.73,1.45,-0.01
20230208134024116,2023-02-08 13:40:24,-1.45,-8.73,-7.27,11.64,2.91,0.03
20230208134024292,2023-02-08 13:40:24,23.28,8.73,-1.45,13.09,2.91,0.10
20230208134024470,2023-02-08 13:40:24,77.11,14.55,18.91,39.28,4.36,0.14
20230208134024644,2023-02-08 13:40:24,208.05,43.65,71.29,68.38,24.73,0.17
20230208134024819,2023-02-08 13:40:24,405.91,94.57,152.76,107.66,50.92,0.20
20230208134024992,2023-02-08 13:40:24,616.86,161.49,240.05,141.12,74.20,0.18
20230208134025168,2023-02-08 13:40:25,916.57,219.68,344.80,231.32,120.75,0.26
20230208134025344,2023-02-08 13:40:25,964.58,231.32,370.99,234.23,128.03,0.26
