 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230122115641364,2023-01-22 11:56:41,5.82,-7.27,0.00,11.64,1.45,0.00
20230122115641766,2023-01-22 11:56:41,20.37,2.91,1.45,13.09,2.91,0.02
20230122115642138,2023-01-22 11:56:42,5.82,-2.91,-2.91,8.73,2.91,0.01
20230122115642483,2023-01-22 11:56:42,11.64,-1.45,1.45,11.64,0.00,-0.01
20230122115642812,2023-01-22 11:56:42,1.45,-2.91,1.45,0.00,2.91,0.01
20230122115643295,2023-01-22 11:56:43,14.55,-4.36,2.91,13.09,2.91,0.00
20230122115643756,2023-01-22 11:56:43,1.45,1.45,0.00,1.45,-1.45,0.03
20230122115644089,2023-01-22 11:56:44,1.45,0.00,0.00,0.00,1.45,0.01
20230122115644342,2023-01-22 11:56:44,11.64,0.00,-2.91,11.64,2.91,0.01
