 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230125091247704,2023-01-25 09:12:47,5.82,-7.27,0.00,11.64,1.45,0.00
20230125091247929,2023-01-25 09:12:47,20.37,2.91,1.45,13.09,2.91,0.02
20230125091248150,2023-01-25 09:12:48,5.82,-2.91,-2.91,8.73,2.91,0.01
20230125091248381,2023-01-25 09:12:48,11.64,-1.45,1.45,11.64,0.00,-0.01
20230125091248639,2023-01-25 09:12:48,1.45,-2.91,1.45,0.00,2.91,0.01
20230125091248893,2023-01-25 09:12:48,14.55,-4.36,2.91,13.09,2.91,0.00
20230125091249143,2023-01-25 09:12:49,1.45,1.45,0.00,1.45,-1.45,0.03
20230125091249390,2023-01-25 09:12:49,1.45,0.00,0.00,0.00,1.45,0.01
20230125091249613,2023-01-25 09:12:49,11.64,0.00,-2.91,11.64,2.91,0.01
20230125091249840,2023-01-25 09:12:49,8.73,2.91,2.91,0.00,2.91,0.01
20230125091250055,2023-01-25 09:12:50,-0.00,-7.27,0.00,8.73,-1.45,0.01
20230125091250279,2023-01-25 09:12:50,7.27,-2.91,-2.91,10.18,2.91,0.01
20230125091250526,2023-01-25 09:12:50,11.64,0.00,-1.45,10.18,2.91,0.03
20230125091250781,2023-01-25 09:12:50,5.82,1.45,0.00,1.45,2.91,-0.01
20230125091251038,2023-01-25 09:12:51,5.82,1.45,0.00,1.45,2.91,0.00
20230125091251286,2023-01-25 09:12:51,0.00,-4.36,1.45,0.00,2.91,0.01
20230125091251514,2023-01-25 09:12:51,5.82,-7.27,0.00,11.64,1.45,0.00
20230125091251729,2023-01-25 09:12:51,-7.27,-2.91,-2.91,0.00,-1.45,0.01
20230125091251944,2023-01-25 09:12:51,5.82,-1.45,0.00,8.73,-1.45,0.03
20230125091252163,2023-01-25 09:12:52,-5.82,-5.82,0.00,0.00,0.00,0.00
20230125091252380,2023-01-25 09:12:52,-4.36,-5.82,1.45,0.00,0.00,0.00
20230125091252634,2023-01-25 09:12:52,2.91,-8.73,0.00,13.09,-1.45,0.02
20230125091252890,2023-01-25 09:12:52,-4.36,-5.82,0.00,0.00,1.45,-0.01
20230125091253142,2023-01-25 09:12:53,-1.45,-5.82,0.00,1.45,2.91,0.02
20230125091253394,2023-01-25 09:12:53,-1.45,-5.82,-2.91,4.36,2.91,0.01
20230125091253614,2023-01-25 09:12:53,-5.82,-1.45,-2.91,0.00,-1.45,-0.01
20230125091253842,2023-01-25 09:12:53,1.45,-4.36,-2.91,10.18,-1.45,-0.02
20230125091254073,2023-01-25 09:12:54,4.36,1.45,-1.45,0.00,4.36,-0.01
20230125091254389,2023-01-25 09:12:54,2.91,0.00,2.91,0.00,0.00,0.01
20230125091254760,2023-01-25 09:12:54,13.09,-2.91,1.45,11.64,2.91,0.01
20230125091255143,2023-01-25 09:12:55,2.91,2.91,-1.45,0.00,1.45,0.03
20230125091255499,2023-01-25 09:12:55,10.18,1.45,2.91,5.82,0.00,0.00
20230125091255809,2023-01-25 09:12:55,0.00,-4.36,4.36,0.00,0.00,-0.01
20230125091256117,2023-01-25 09:12:56,4.36,0.00,2.91,0.00,1.45,-0.02
20230125091256434,2023-01-25 09:12:56,20.37,2.91,0.00,14.55,2.91,-0.01
20230125091256796,2023-01-25 09:12:56,7.27,-2.91,-1.45,10.18,1.45,0.01
20230125091257161,2023-01-25 09:12:57,17.46,4.36,0.00,13.09,0.00,0.00
20230125091257461,2023-01-25 09:12:57,-5.82,-5.82,-1.45,0.00,1.45,-0.02
20230125091257692,2023-01-25 09:12:57,11.64,2.91,0.00,10.18,-1.45,0.01
20230125091257910,2023-01-25 09:12:57,-2.91,-1.45,-1.45,0.00,0.00,-0.01
20230125091258127,2023-01-25 09:12:58,1.45,1.45,-2.91,0.00,2.91,0.00
20230125091258349,2023-01-25 09:12:58,4.36,-1.45,1.45,1.45,2.91,0.01
20230125091258574,2023-01-25 09:12:58,11.64,1.45,0.00,5.82,4.36,0.03
20230125091258825,2023-01-25 09:12:58,16.00,2.91,0.00,13.09,0.00,-0.01
20230125091259078,2023-01-25 09:12:59,-7.27,-4.36,-1.45,0.00,-1.45,0.00
20230125091259329,2023-01-25 09:12:59,8.73,-4.36,1.45,11.64,0.00,0.00
20230125091259576,2023-01-25 09:12:59,8.73,-5.82,-1.45,13.09,2.91,-0.01
20230125091259800,2023-01-25 09:12:59,-2.91,-2.91,-2.91,0.00,2.91,0.01
20230125091300024,2023-01-25 09:13:00,1.45,-7.27,1.45,8.73,-1.45,0.01
20230125091300246,2023-01-25 09:13:00,-1.45,-1.45,0.00,0.00,0.00,0.00
20230125091310909,2023-01-25 09:13:10,85.84,14.55,8.73,43.65,18.91,0.03
20230125091311129,2023-01-25 09:13:11,113.48,32.01,14.55,39.28,27.64,0.00
20230125091311350,2023-01-25 09:13:11,114.93,32.01,10.18,43.65,29.10,-0.04
20230125091311565,2023-01-25 09:13:11,158.58,39.28,20.37,61.10,37.83,0.01
20230125091311790,2023-01-25 09:13:11,186.22,46.56,27.64,68.38,43.65,0.00
20230125091311980,2023-01-25 09:13:11,237.14,62.56,33.46,87.29,53.83,0.00
20230125091312174,2023-01-25 09:13:12,276.42,75.65,40.74,88.75,71.29,-0.02
20230125091312366,2023-01-25 09:13:12,309.89,84.38,46.56,106.21,72.74,0.00
20230125091312561,2023-01-25 09:13:12,370.99,103.30,58.19,117.84,91.66,0.00
20230125091312752,2023-01-25 09:13:12,451.01,128.03,77.11,132.39,113.48,0.04
20230125091312957,2023-01-25 09:13:12,512.11,145.49,81.47,165.85,119.30,-0.01
20230125091313179,2023-01-25 09:13:13,507.75,138.21,82.93,165.85,120.75,0.03
20230125091313400,2023-01-25 09:13:13,480.11,141.12,78.56,145.49,114.93,0.00
20230125091313619,2023-01-25 09:13:13,494.65,138.21,77.11,160.04,119.30,-0.02
20230125091313842,2023-01-25 09:13:13,485.93,145.49,80.02,145.49,114.93,-0.03
20230125091314031,2023-01-25 09:13:14,490.29,135.30,78.56,160.04,116.39,-0.01
20230125091314218,2023-01-25 09:13:14,481.56,144.03,74.20,146.94,116.39,-0.01
20230125091314414,2023-01-25 09:13:14,484.47,144.03,74.20,149.85,116.39,0.05
20230125091314604,2023-01-25 09:13:14,478.65,142.58,71.29,146.94,117.84,0.02
20230125091314796,2023-01-25 09:13:14,512.11,145.49,87.29,149.85,129.48,-0.01
20230125091314999,2023-01-25 09:13:14,618.32,174.58,103.30,192.04,148.40,0.03
20230125091315224,2023-01-25 09:13:15,616.86,178.95,106.21,180.40,151.31,0.03
20230125091315448,2023-01-25 09:13:15,609.59,168.76,101.84,184.77,154.22,0.02
20230125091315664,2023-01-25 09:13:15,613.95,178.95,101.84,184.77,148.40,0.00
20230125091315880,2023-01-25 09:13:15,622.68,174.58,100.39,197.86,149.85,0.00
20230125091316071,2023-01-25 09:13:16,618.32,174.58,96.02,200.77,146.94,-0.04
