 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230202124028779,2023-02-02 12:40:28,-8.73,7.27,-7.27,-5.82,-2.91,-0.01
20230202124029227,2023-02-02 12:40:29,-24.73,4.36,-7.27,-18.91,-2.91,0.01
20230202124029592,2023-02-02 12:40:29,-2.91,-1.45,-2.91,-2.91,4.36,0.01
20230202124029962,2023-02-02 12:40:29,-20.37,7.27,-7.27,-18.91,-1.45,0.01
20230202124030377,2023-02-02 12:40:30,-16.00,1.45,-5.82,-8.73,-2.91,0.00
20230202124030809,2023-02-02 12:40:30,-11.64,7.27,-2.91,-18.91,2.91,-0.01
20230202124031221,2023-02-02 12:40:31,-11.64,1.45,0.00,-10.18,-2.91,0.00
20230202124031630,2023-02-02 12:40:31,-23.28,4.36,-7.27,-18.91,-1.45,0.01
20230202124032026,2023-02-02 12:40:31,2.91,5.82,0.00,-4.36,1.45,-0.02
20230202124032439,2023-02-02 12:40:32,7.27,7.27,-1.45,0.00,1.45,0.01
20230202124032764,2023-02-02 12:40:32,-18.91,-1.45,0.00,-18.91,1.45,0.01
20230202124032971,2023-02-02 12:40:32,-4.36,5.82,-7.27,-4.36,1.45,0.01
20230202124033172,2023-02-02 12:40:33,0.00,7.27,-2.91,-2.91,-1.45,0.02
20230202124033350,2023-02-02 12:40:33,-10.18,0.00,-1.45,-7.27,-1.45,0.01
20230202124033532,2023-02-02 12:40:33,-7.27,-1.45,1.45,-4.36,-2.91,-0.01
20230202124033712,2023-02-02 12:40:33,-7.27,7.27,0.00,-18.91,4.36,0.01
20230202124033890,2023-02-02 12:40:33,0.00,7.27,-2.91,-2.91,-1.45,0.02
20230202124034069,2023-02-02 12:40:34,-16.00,2.91,-1.45,-18.91,1.45,-0.01
20230202124034260,2023-02-02 12:40:34,-21.82,-1.45,-4.36,-18.91,2.91,0.02
20230202124034467,2023-02-02 12:40:34,-14.55,7.27,-4.36,-14.55,-2.91,0.00
20230202124034673,2023-02-02 12:40:34,-1.45,-1.45,-4.36,0.00,4.36,-0.02
20230202124034884,2023-02-02 12:40:34,14.55,7.27,0.00,2.91,4.36,0.01
20230202124035090,2023-02-02 12:40:35,-11.64,5.82,-1.45,-18.91,2.91,0.01
20230202124035282,2023-02-02 12:40:35,-20.37,-1.45,-4.36,-17.46,2.91,-0.01
20230202124035460,2023-02-02 12:40:35,-16.00,-1.45,1.45,-18.91,2.91,0.02
20230202124035638,2023-02-02 12:40:35,-16.00,4.36,1.45,-18.91,-2.91,0.03
