 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230213101054742,2023-02-13 10:10:54,-11.64,0.00,-11.64,0.00,0.00,0.01
20230213101054955,2023-02-13 10:10:54,7.27,-2.91,-7.27,16.00,1.45,0.02
20230213101055146,2023-02-13 10:10:55,-14.55,-8.73,-10.18,0.00,4.36,0.04
20230213101055327,2023-02-13 10:10:55,-14.55,-7.27,-13.09,0.00,5.82,0.01
20230213101055509,2023-02-13 10:10:55,-14.55,-8.73,-8.73,0.00,2.91,0.01
20230213101055691,2023-02-13 10:10:55,4.36,-2.91,-13.09,17.46,2.91,0.01
20230213101055872,2023-02-13 10:10:55,-5.82,0.00,-7.27,0.00,1.45,0.02
20230213101056082,2023-02-13 10:10:56,-2.91,4.36,-7.27,0.00,0.00,-0.01
20230213101056292,2023-02-13 10:10:56,-17.46,-7.27,-11.64,0.00,1.45,0.00
20230213101056501,2023-02-13 10:10:56,10.18,-8.73,-5.82,16.00,8.73,0.01
20230213101056713,2023-02-13 10:10:56,-14.55,-1.45,-13.09,0.00,0.00,0.02
20230213101056919,2023-02-13 10:10:56,-7.27,2.91,-10.18,0.00,0.00,0.04
20230213101057100,2023-02-13 10:10:57,-7.27,0.00,-8.73,0.00,1.45,0.01
20230213101057280,2023-02-13 10:10:57,16.00,0.00,-4.36,20.37,0.00,0.01
20230213101057462,2023-02-13 10:10:57,-18.91,-8.73,-10.18,0.00,0.00,0.03
20230213101057644,2023-02-13 10:10:57,16.00,0.00,-10.18,20.37,5.82,0.04
20230213101057826,2023-02-13 10:10:57,1.45,1.45,-7.27,0.00,7.27,0.04
20230213101058024,2023-02-13 10:10:58,-7.27,-1.45,-13.09,0.00,7.27,0.03
20230213101058235,2023-02-13 10:10:58,10.18,-4.36,-13.09,23.28,4.36,0.00
20230213101058445,2023-02-13 10:10:58,5.82,-8.73,-8.73,18.91,4.36,0.01
20230213101058654,2023-02-13 10:10:58,7.27,-1.45,-7.27,14.55,1.45,0.03
20230213101058865,2023-02-13 10:10:58,-11.64,-1.45,-10.18,0.00,0.00,0.03
20230213101059057,2023-02-13 10:10:59,7.27,-2.91,-11.64,16.00,5.82,0.00
20230213101059240,2023-02-13 10:10:59,5.82,-1.45,0.00,0.00,7.27,0.00
20230213101059423,2023-02-13 10:10:59,-4.36,1.45,-5.82,0.00,0.00,-0.01
20230213101059605,2023-02-13 10:10:59,4.36,1.45,-4.36,0.00,7.27,-0.03
20230213101059788,2023-02-13 10:10:59,4.36,-7.27,-11.64,23.28,0.00,0.02
20230213101059969,2023-02-13 10:10:59,0.00,2.91,-8.73,5.82,0.00,-0.01
20230213101100205,2023-02-13 10:11:00,-4.36,2.91,-11.64,0.00,4.36,0.02
20230213101100415,2023-02-13 10:11:00,24.73,0.00,-5.82,21.82,8.73,0.04
20230213101100624,2023-02-13 10:11:00,1.45,2.91,-10.18,2.91,5.82,0.03
20230213101100834,2023-02-13 10:11:00,-4.36,-4.36,-7.27,2.91,4.36,-0.02
20230213101101038,2023-02-13 10:11:01,-4.36,-8.73,-13.09,16.00,1.45,-0.01
20230213101101519,2023-02-13 10:11:01,1.45,2.91,-11.64,4.36,5.82,0.00
20230213101101876,2023-02-13 10:11:01,-0.00,-1.45,-11.64,4.36,8.73,0.03
20230213101102162,2023-02-13 10:11:02,-10.18,-8.73,-8.73,0.00,7.27,0.01
20230213101102470,2023-02-13 10:11:02,-11.64,1.45,-13.09,0.00,0.00,0.03
20230213101102786,2023-02-13 10:11:02,-2.91,-8.73,0.00,0.00,5.82,0.02
20230213101103090,2023-02-13 10:11:03,18.91,0.00,-2.91,21.82,0.00,0.04
20230213101103349,2023-02-13 10:11:03,24.73,4.36,-4.36,23.28,1.45,0.01
20230213101103650,2023-02-13 10:11:03,-7.27,-1.45,-13.09,0.00,7.27,0.04
20230213101103911,2023-02-13 10:11:03,-7.27,2.91,-13.09,0.00,2.91,0.03
20230213101104202,2023-02-13 10:11:04,-2.91,-4.36,-13.09,14.55,0.00,-0.01
20230213101104511,2023-02-13 10:11:04,4.36,-7.27,-5.82,16.00,1.45,0.00
20230213101104722,2023-02-13 10:11:04,-13.09,-5.82,-8.73,0.00,1.45,0.01
20230213101104931,2023-02-13 10:11:04,10.18,-2.91,-2.91,16.00,0.00,0.01
20230213101105134,2023-02-13 10:11:05,-17.46,-8.73,-8.73,0.00,0.00,0.04
20230213101105323,2023-02-13 10:11:05,1.45,-5.82,-10.18,17.46,0.00,0.02
20230213101105504,2023-02-13 10:11:05,-0.00,1.45,-10.18,0.00,8.73,0.03
20230213101105685,2023-02-13 10:11:05,-5.82,0.00,-10.18,0.00,4.36,-0.01
20230213101520440,2023-02-13 10:15:20,144.03,26.19,46.56,62.56,8.73,0.14
20230213101520619,2023-02-13 10:15:20,245.87,46.56,98.93,75.65,24.73,0.19
20230213101520799,2023-02-13 10:15:20,424.82,103.30,177.49,96.02,48.01,0.22
20230213101520979,2023-02-13 10:15:20,657.60,157.13,274.97,149.85,75.65,0.25
20230213101521150,2023-02-13 10:15:21,822.00,193.50,354.99,178.95,94.57,0.23
20230213101521307,2023-02-13 10:15:21,856.92,197.86,350.62,205.14,103.30,0.25
20230213101521463,2023-02-13 10:15:21,839.46,184.77,350.62,206.59,97.48,0.25
20230213101521618,2023-02-13 10:15:21,420.46,91.66,176.04,109.11,43.65,0.21
20230213101521774,2023-02-13 10:15:21,75.65,13.09,14.55,39.28,8.73,0.14
20230213101521929,2023-02-13 10:15:21,-2.91,-8.73,-4.36,8.73,1.45,0.10
20230213101522111,2023-02-13 10:15:22,-0.00,0.00,-11.64,8.73,2.91,0.03
20230213101522321,2023-02-13 10:15:22,10.18,-7.27,-10.18,24.73,2.91,0.02
20230213101522531,2023-02-13 10:15:22,7.27,-1.45,-7.27,16.00,0.00,0.05
20230213101522742,2023-02-13 10:15:22,-14.55,-5.82,-10.18,0.00,1.45,0.02
20230213101522954,2023-02-13 10:15:22,-11.64,0.00,-13.09,0.00,1.45,0.03
20230213101523159,2023-02-13 10:15:23,7.27,-1.45,-4.36,13.09,0.00,0.01
20230213101523341,2023-02-13 10:15:23,-2.91,-2.91,-4.36,1.45,2.91,0.01
20230213101523523,2023-02-13 10:15:23,-13.09,-1.45,-13.09,0.00,1.45,-0.01
20230213101523705,2023-02-13 10:15:23,-0.00,-5.82,-7.27,8.73,4.36,-0.03
20230213101523887,2023-02-13 10:15:23,-11.64,-8.73,-7.27,0.00,4.36,-0.02
20230213101524069,2023-02-13 10:15:24,-4.36,-7.27,-1.45,0.00,4.36,-0.01
20230213101524266,2023-02-13 10:15:24,-4.36,-4.36,-10.18,8.73,1.45,0.00
20230213101524476,2023-02-13 10:15:24,-2.91,-8.73,-13.09,14.55,4.36,0.01
20230213101524687,2023-02-13 10:15:24,-17.46,-4.36,-13.09,0.00,0.00,0.01
20230213101524897,2023-02-13 10:15:24,8.73,1.45,-13.09,20.37,0.00,0.09
20230213101525110,2023-02-13 10:15:25,27.64,0.00,-4.36,24.73,7.27,0.08
20230213101525302,2023-02-13 10:15:25,56.74,17.46,20.37,14.55,4.36,0.10
20230213101525484,2023-02-13 10:15:25,116.39,29.10,42.19,36.37,8.73,0.15
20230213101525643,2023-02-13 10:15:25,218.23,43.65,88.75,65.47,20.37,0.19
20230213101525798,2023-02-13 10:15:25,328.80,64.01,133.85,91.66,39.28,0.21
20230213101525953,2023-02-13 10:15:25,413.18,85.84,178.95,98.93,49.47,0.19
20230213101526108,2023-02-13 10:15:26,465.56,101.84,183.31,126.57,53.83,0.16
20230213101526275,2023-02-13 10:15:26,545.57,126.57,235.69,125.12,58.19,0.25
20230213101526455,2023-02-13 10:15:26,570.31,120.75,231.32,157.13,61.10,0.24
20230213101526634,2023-02-13 10:15:26,584.86,135.30,248.78,129.48,71.29,0.17
20230213101526813,2023-02-13 10:15:26,673.60,158.58,285.15,158.58,71.29,0.18
20230213101526997,2023-02-13 10:15:26,696.88,155.67,293.88,171.67,75.65,0.27
20230213101527177,2023-02-13 10:15:27,686.70,158.58,290.97,161.49,75.65,0.21
20230213101527340,2023-02-13 10:15:27,707.06,155.67,305.52,174.58,71.29,0.25
20230213101527496,2023-02-13 10:15:27,644.51,146.94,274.97,152.76,69.83,0.23
20230213101527651,2023-02-13 10:15:27,196.41,39.28,61.10,81.47,14.55,0.08
20230213101527806,2023-02-13 10:15:27,46.56,10.18,1.45,34.92,0.00,0.08
20230213101527989,2023-02-13 10:15:27,8.73,-4.36,-4.36,17.46,0.00,0.05
20230213101528171,2023-02-13 10:15:28,1.45,-5.82,-10.18,16.00,1.45,0.01
20230213101528369,2023-02-13 10:15:28,-11.64,1.45,-13.09,0.00,0.00,0.06
20230213101528580,2023-02-13 10:15:28,2.91,4.36,-4.36,0.00,2.91,0.06
20230213101528790,2023-02-13 10:15:28,53.83,2.91,13.09,30.55,7.27,0.10
20230213101529002,2023-02-13 10:15:28,146.94,21.82,49.47,64.01,11.64,0.13
20230213101529182,2023-02-13 10:15:29,256.06,65.47,104.75,61.10,24.73,0.16
20230213101529350,2023-02-13 10:15:29,490.29,110.57,200.77,129.48,49.47,0.20
20230213101529506,2023-02-13 10:15:29,692.52,149.85,288.06,176.04,78.56,0.20
20230213101529661,2023-02-13 10:15:29,772.53,176.04,324.43,184.77,87.29,0.23
20230213101529817,2023-02-13 10:15:29,855.46,189.13,360.81,203.68,101.84,0.25
20230213101530003,2023-02-13 10:15:29,896.20,197.86,370.99,222.59,104.75,0.22
20230213101530221,2023-02-13 10:15:30,763.80,176.04,328.80,173.13,85.84,0.20
20230213101530473,2023-02-13 10:15:30,157.13,34.92,45.10,58.19,18.91,0.13
20230213101530750,2023-02-13 10:15:30,18.91,10.18,-2.91,11.64,0.00,0.05
