 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230125084927134,2023-01-25 08:49:27,24.73,5.82,2.91,17.46,-1.45,-0.01
20230125084927336,2023-01-25 08:49:27,21.82,0.00,0.00,20.37,1.45,-0.03
20230125084927541,2023-01-25 08:49:27,17.46,10.18,5.82,0.00,1.45,0.00
20230125084927757,2023-01-25 08:49:27,18.91,-4.36,2.91,18.91,1.45,0.01
20230125084927973,2023-01-25 08:49:27,7.27,8.73,0.00,1.45,-2.91,-0.01
20230125084928190,2023-01-25 08:49:28,7.27,0.00,1.45,7.27,-1.45,0.05
20230125084928408,2023-01-25 08:49:28,13.09,4.36,4.36,4.36,0.00,0.01
20230125084928603,2023-01-25 08:49:28,0.00,-1.45,0.00,2.91,-1.45,0.00
20230125084928793,2023-01-25 08:49:28,7.27,5.82,0.00,4.36,-2.91,-0.01
20230125084928981,2023-01-25 08:49:28,14.55,11.64,0.00,2.91,0.00,-0.02
20230125084929169,2023-01-25 08:49:29,26.19,-1.45,4.36,16.00,7.27,-0.01
20230125084929358,2023-01-25 08:49:29,46.56,11.64,0.00,14.55,20.37,-0.01
20230125084929558,2023-01-25 08:49:29,106.21,33.46,10.18,36.37,26.19,0.01
20230125084929744,2023-01-25 08:49:29,174.58,43.65,16.00,71.29,43.65,-0.06
20230125084929928,2023-01-25 08:49:29,187.68,53.83,32.01,45.10,56.74,0.01
20230125084930113,2023-01-25 08:49:30,267.70,80.02,32.01,81.47,74.20,0.01
20230125084930298,2023-01-25 08:49:30,312.80,85.84,42.19,90.20,94.57,0.03
20230125084930482,2023-01-25 08:49:30,391.36,107.66,49.47,114.93,119.30,-0.03
20230125084930647,2023-01-25 08:49:30,417.55,109.11,58.19,132.39,117.84,0.01
20230125084930807,2023-01-25 08:49:30,507.75,148.40,77.11,142.58,139.67,0.03
20230125084930967,2023-01-25 08:49:30,563.03,158.58,71.29,171.67,161.49,-0.01
