 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230131152523167,2023-01-31 15:25:23,-11.64,8.73,-2.91,-13.09,-4.36,-0.06
20230131152523369,2023-01-31 15:25:23,8.73,10.18,-1.45,2.91,-2.91,0.03
20230131152523582,2023-01-31 15:25:23,-16.00,5.82,-5.82,-13.09,-2.91,-0.05
20230131152523799,2023-01-31 15:25:23,5.82,4.36,-1.45,2.91,0.00,0.02
20230131152524014,2023-01-31 15:25:23,-1.45,0.00,8.73,-13.09,2.91,-0.05
20230131152524228,2023-01-31 15:25:24,7.27,14.55,0.00,-13.09,5.82,0.04
20230131152524416,2023-01-31 15:25:24,53.83,20.37,0.00,16.00,17.46,0.05
20230131152524600,2023-01-31 15:25:24,87.29,34.92,2.91,20.37,29.10,0.00
20230131152524824,2023-01-31 15:25:24,120.75,36.37,17.46,24.73,42.19,0.04
20230131152524982,2023-01-31 15:25:24,183.31,61.10,26.19,39.28,56.74,0.05
20230131152525139,2023-01-31 15:25:25,170.22,56.74,20.37,42.19,50.92,0.01
20230131152525298,2023-01-31 15:25:25,242.96,88.75,20.37,62.56,71.29,0.02
20230131152525478,2023-01-31 15:25:25,256.06,69.83,33.46,82.93,69.83,0.02
20230131152525660,2023-01-31 15:25:25,283.70,81.47,33.46,93.11,75.65,-0.03
20230131152525840,2023-01-31 15:25:25,324.43,112.02,37.83,80.02,94.57,0.01
20230131152526021,2023-01-31 15:25:26,325.89,97.48,50.92,85.84,91.66,-0.01
20230131152526202,2023-01-31 15:25:26,421.91,130.94,55.28,120.75,114.93,0.04
20230131152526373,2023-01-31 15:25:26,426.28,136.76,50.92,122.21,116.39,0.01
20230131152526530,2023-01-31 15:25:26,430.64,133.85,56.74,119.30,120.75,0.06
20230131152526687,2023-01-31 15:25:26,509.20,152.76,72.74,132.39,151.31,0.06
20230131152526878,2023-01-31 15:25:26,554.30,164.40,74.20,162.94,152.76,0.04
20230131152527065,2023-01-31 15:25:27,561.58,167.31,80.02,167.31,146.94,0.00
20230131152527221,2023-01-31 15:25:27,568.85,171.67,78.56,168.76,149.85,0.05
20230131152527386,2023-01-31 15:25:27,544.12,162.94,82.93,149.85,148.40,-0.03
20230131152527567,2023-01-31 15:25:27,555.76,160.04,80.02,170.22,145.49,0.04
20230131152527749,2023-01-31 15:25:27,519.39,151.31,78.56,141.12,148.40,0.03
20230131152527929,2023-01-31 15:25:27,541.21,155.67,77.11,165.85,142.58,0.00
20230131152528110,2023-01-31 15:25:28,539.76,168.76,66.92,158.58,145.49,0.03
20230131152528292,2023-01-31 15:25:28,551.39,160.04,81.47,164.40,145.49,0.01
20230131152528461,2023-01-31 15:25:28,531.03,160.04,72.74,154.22,144.03,0.08
20230131152528618,2023-01-31 15:25:28,523.75,157.13,78.56,145.49,142.58,0.02
20230131152528775,2023-01-31 15:25:28,507.75,155.67,74.20,133.85,144.03,-0.02
20230131152528949,2023-01-31 15:25:28,536.85,155.67,81.47,155.67,144.03,0.01
20230131152529154,2023-01-31 15:25:29,506.29,151.31,69.83,139.67,145.49,0.02
20230131152529312,2023-01-31 15:25:29,507.75,154.22,75.65,136.76,141.12,-0.06
20230131152529529,2023-01-31 15:25:29,478.65,142.58,59.65,146.94,129.48,-0.04
20230131152529802,2023-01-31 15:25:29,165.85,50.92,17.46,49.47,48.01,0.06
20230131152530112,2023-01-31 15:25:30,21.82,7.27,-5.82,20.37,0.00,-0.06
20230131152530425,2023-01-31 15:25:30,8.73,8.73,-4.36,4.36,0.00,-0.02
20230131152530689,2023-01-31 15:25:30,5.82,2.91,-5.82,4.36,4.36,-0.05
20230131152530957,2023-01-31 15:25:30,10.18,10.18,-1.45,2.91,-1.45,0.01
20230131152531297,2023-01-31 15:25:31,-0.00,13.09,4.36,-13.09,-4.36,-0.04
20230131152531579,2023-01-31 15:25:31,-10.18,10.18,-2.91,-13.09,-4.36,-0.01
20230131152531902,2023-01-31 15:25:31,-16.00,7.27,-5.82,-13.09,-4.36,0.00
20230131152532204,2023-01-31 15:25:32,17.46,8.73,-1.45,10.18,0.00,-0.01
20230131152532508,2023-01-31 15:25:32,0.00,11.64,-5.82,-1.45,-4.36,0.05
20230131152532774,2023-01-31 15:25:32,14.55,5.82,-5.82,17.46,-2.91,-0.06
20230131152532976,2023-01-31 15:25:32,36.37,13.09,-1.45,14.55,10.18,0.01
20230131152533175,2023-01-31 15:25:33,69.83,14.55,7.27,29.10,18.91,0.00
20230131152533422,2023-01-31 15:25:33,94.57,37.83,4.36,21.82,30.55,0.01
20230131152533602,2023-01-31 15:25:33,171.67,52.38,16.00,55.28,48.01,-0.03
20230131152533784,2023-01-31 15:25:33,277.88,94.57,32.01,80.02,71.29,-0.04
20230131152533965,2023-01-31 15:25:33,400.09,113.48,56.74,117.84,112.02,0.02
20230131152534147,2023-01-31 15:25:34,512.11,152.76,75.65,142.58,141.12,0.02
20230131152534333,2023-01-31 15:25:34,669.24,180.40,110.57,194.95,183.31,-0.04
20230131152534510,2023-01-31 15:25:34,741.98,202.23,128.03,213.87,197.86,0.01
