 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230130135840051,2023-01-30 13:58:40,-5.82,-1.45,1.45,-4.36,-1.45,0.00
20230130135840281,2023-01-30 13:58:40,-29.10,-10.18,0.00,-14.55,-4.36,-0.01
20230130135840498,2023-01-30 13:58:40,-30.55,-8.73,-2.91,-16.00,-2.91,0.01
20230130135840710,2023-01-30 13:58:40,-32.01,-8.73,-2.91,-16.00,-4.36,-0.01
20230130135840916,2023-01-30 13:58:40,-17.46,-5.82,0.00,-5.82,-5.82,0.01
20230130135841116,2023-01-30 13:58:41,-7.27,-5.82,2.91,-1.45,-2.91,-0.01
20230130135841382,2023-01-30 13:58:41,-18.91,-7.27,2.91,-8.73,-5.82,0.01
20230130135841649,2023-01-30 13:58:41,-18.91,-5.82,-2.91,-8.73,-1.45,-0.01
20230130135841913,2023-01-30 13:58:41,-30.55,-8.73,0.00,-16.00,-5.82,-0.02
20230130135842227,2023-01-30 13:58:42,-16.00,-7.27,-2.91,-2.91,-2.91,-0.01
20230130135842539,2023-01-30 13:58:42,-20.37,-2.91,2.91,-16.00,-4.36,0.00
20230130135842850,2023-01-30 13:58:42,-32.01,-10.18,1.45,-16.00,-7.27,0.00
20230130135843124,2023-01-30 13:58:43,-21.82,-5.82,-2.91,-7.27,-5.82,-0.01
20230130135843387,2023-01-30 13:58:43,-30.55,-10.18,0.00,-16.00,-4.36,0.03
20230130135843669,2023-01-30 13:58:43,-30.55,-10.18,-2.91,-13.09,-4.36,0.00
20230130135843928,2023-01-30 13:58:43,-16.00,-8.73,-2.91,-2.91,-1.45,0.01
20230130135844251,2023-01-30 13:58:44,-16.00,-5.82,0.00,-7.27,-2.91,0.03
20230130135844529,2023-01-30 13:58:44,-30.55,-4.36,-2.91,-16.00,-7.27,0.00
20230130135844744,2023-01-30 13:58:44,-29.10,-8.73,-2.91,-16.00,-1.45,0.02
20230130135844963,2023-01-30 13:58:44,-23.28,-10.18,-2.91,-2.91,-7.27,0.00
20230130135845147,2023-01-30 13:58:45,-18.91,-10.18,-1.45,-4.36,-2.91,-0.03
20230130135845332,2023-01-30 13:58:45,-17.46,-2.91,-1.45,-7.27,-5.82,0.01
20230130135845517,2023-01-30 13:58:45,-20.37,-7.27,-2.91,-8.73,-1.45,0.01
20230130135845702,2023-01-30 13:58:45,-18.91,-1.45,-2.91,-13.09,-1.45,0.01
20230130135845886,2023-01-30 13:58:45,-29.10,-4.36,-2.91,-16.00,-5.82,0.01
20230130135846091,2023-01-30 13:58:46,-11.64,-10.18,-1.45,0.00,0.00,0.01
20230130135846303,2023-01-30 13:58:46,-26.19,-1.45,-2.91,-16.00,-5.82,-0.03
20230130135846518,2023-01-30 13:58:46,-23.28,-1.45,-1.45,-16.00,-4.36,-0.01
20230130135846731,2023-01-30 13:58:46,-30.55,-10.18,0.00,-16.00,-4.36,0.02
20230130135846942,2023-01-30 13:58:46,-11.64,-2.91,-2.91,-2.91,-2.91,0.00
20230130135847139,2023-01-30 13:58:47,-14.55,-10.18,2.91,-4.36,-2.91,-0.01
20230130135847325,2023-01-30 13:58:47,-13.09,-1.45,0.00,-7.27,-4.36,0.00
20230130135847508,2023-01-30 13:58:47,-27.64,-5.82,-2.91,-16.00,-2.91,0.01
20230130135847692,2023-01-30 13:58:47,-11.64,-4.36,-2.91,-2.91,-1.45,-0.01
20230130135847877,2023-01-30 13:58:47,-5.82,-2.91,1.45,-1.45,-2.91,0.01
20230130135848067,2023-01-30 13:58:48,-21.82,-5.82,0.00,-16.00,0.00,-0.01
20230130135848279,2023-01-30 13:58:48,-20.37,-10.18,2.91,-8.73,-4.36,0.00
20230130135848491,2023-01-30 13:58:48,-36.37,-10.18,-2.91,-16.00,-7.27,0.02
20230130135848704,2023-01-30 13:58:48,-21.82,-5.82,0.00,-13.09,-2.91,0.01
20230130135848917,2023-01-30 13:58:48,-18.91,-2.91,1.45,-14.55,-2.91,-0.01
20230130135849121,2023-01-30 13:58:49,-21.82,-10.18,-1.45,-2.91,-7.27,-0.01
20230130135849304,2023-01-30 13:58:49,-21.82,-4.36,1.45,-16.00,-2.91,-0.01
20230130135849488,2023-01-30 13:58:49,-24.73,-10.18,2.91,-16.00,-1.45,0.01
20230130135849671,2023-01-30 13:58:49,-26.19,-4.36,1.45,-16.00,-7.27,-0.03
20230130135849855,2023-01-30 13:58:49,-23.28,-7.27,1.45,-13.09,-4.36,0.00
20230130135850044,2023-01-30 13:58:50,-24.73,-4.36,-1.45,-16.00,-2.91,-0.03
20230130135850250,2023-01-30 13:58:50,-18.91,-1.45,0.00,-16.00,-1.45,0.01
20230130135850462,2023-01-30 13:58:50,-20.37,-7.27,-2.91,-4.36,-5.82,0.01
20230130135850676,2023-01-30 13:58:50,-18.91,-10.18,-2.91,-1.45,-4.36,0.01
20230130135850888,2023-01-30 13:58:50,-32.01,-8.73,-1.45,-16.00,-5.82,0.01
