 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230122115654097,2023-01-22 11:56:54,5.82,-7.27,0.00,11.64,1.45,0.00
20230122115654457,2023-01-22 11:56:54,20.37,2.91,1.45,13.09,2.91,0.02
20230122115654843,2023-01-22 11:56:54,5.82,-2.91,-2.91,8.73,2.91,0.01
20230122115655295,2023-01-22 11:56:55,11.64,-1.45,1.45,11.64,0.00,-0.01
20230122115655701,2023-01-22 11:56:55,1.45,-2.91,1.45,0.00,2.91,0.01
20230122115656103,2023-01-22 11:56:56,14.55,-4.36,2.91,13.09,2.91,0.00
20230122115656500,2023-01-22 11:56:56,1.45,1.45,0.00,1.45,-1.45,0.03
20230122115656854,2023-01-22 11:56:56,1.45,0.00,0.00,0.00,1.45,0.01
20230122115657214,2023-01-22 11:56:57,11.64,0.00,-2.91,11.64,2.91,0.01
